name,slug,value,date_of_information,ranking,region
"Togo","togo","8,492,333","2022 est.","102","Africa"
"Laos","laos","7,749,595","2022 est.","103","East and Southeast Asia"
"Paraguay","paraguay","7,356,409","2022 est.","104","South America"
"Hong Kong","hong-kong","7,276,588","2022 est.","105","East and Southeast Asia"
"Libya","libya","7,137,931","2022 est.","106","Africa"
"Bulgaria","bulgaria","6,873,253","2022 est.","107","Europe"
"Serbia","serbia","6,739,471","2022 est.","108","Europe"
"El Salvador","el-salvador","6,568,745","2022 est.","109","Central America and the Caribbean"
"Nicaragua","nicaragua","6,301,880","2022 est.","110","Central America and the Caribbean"
"Eritrea","eritrea","6,209,262","2022 est.","111","Africa"
"Kyrgyzstan","kyrgyzstan","6,071,750","2022 est.","112","Central Asia"
"Singapore","singapore","5,921,231","2022 est.","113","East and Southeast Asia"
"Denmark","denmark","5,920,767","2022 est.","114","Europe"
"Turkmenistan","turkmenistan","5,636,011","2022 est.","115","Central Asia"
"Finland","finland","5,601,547","2022 est.","116","Europe"
"Norway","norway","5,553,840","2022 est.","117","Europe"
"Congo, Republic of the","congo-republic-of-the","5,546,307","2022 est.","118","Africa"
"Central African Republic","central-african-republic","5,454,533","2022 est.","119","Africa"
"Slovakia","slovakia","5,431,252","2022 est.","120","Europe"
"Liberia","liberia","5,358,483","2022 est.","121","Africa"
"Lebanon","lebanon","5,296,814","2022 est.","122","Middle East"
"Ireland","ireland","5,275,004","2022 est.","123","Europe"
"Costa Rica","costa-rica","5,204,411","2022 est.","124","Central America and the Caribbean"
"New Zealand","new-zealand","5,053,004","2022 est.","125","Australia and Oceania"
"Georgia","georgia","4,935,518","2022 est.","126","Middle East"
"Panama","panama","4,337,768","2022 est.","127","Central America and the Caribbean"
"Croatia","croatia","4,188,853","2022 est.","128","Europe"
"Mauritania","mauritania","4,161,925","2022 est.","129","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,816,459","2022 est.","130","Europe"
"Oman","oman","3,764,348","2022 est.","131","Middle East"
"Uruguay","uruguay","3,407,213","2022 est.","132","South America"
"Moldova","moldova","3,287,326","2022 est.","133","Europe"
"Mongolia","mongolia","3,227,863","2022 est.","134","East and Southeast Asia"
"Puerto Rico","puerto-rico","3,098,423","2022 est.","135","Central America and the Caribbean"
"Albania","albania","3,095,344","2022 est.","136","Europe"
"Kuwait","kuwait","3,068,155","2022 est.","137","Middle East"
"Armenia","armenia","3,000,756","2022 est.","138","Middle East"
"West Bank","west-bank","3,000,021","2022 est.","139","Middle East"
"Jamaica","jamaica","2,818,596","2022 est.","140","Central America and the Caribbean"
"Namibia","namibia","2,727,409","2022 est.","141","Africa"
"Lithuania","lithuania","2,683,546","2022 est.","142","Europe"
"Qatar","qatar","2,508,182","2022 est.","143","Middle East"
